 Company  Names!!,Car_Name @,Tipo de motor  ,CC / Batt.Capacidad , Horse Power(HP)! ,velocidad max kmh ,0_100 km/h  (seg) ,Precio $$ coche,TipoCombustible  ,  Num Asientos ,Par motor (Nm)??
Acura,Integra Type S,2.0L Turbo I4,1996cc,320hp,240km/h,5.3 sec,$51000,Petrol,5,420 Nm
Acura,TLX Type S,3.0L Turbo V6,2997cc,355hp,250km/h,5.1 sec,$57000,Petrol,cinco,480 Nm
Aston Martin,DB12,4.0L Twin-Turbo V8,3982cc,671 hp,325km/h,3.5 sec,$245000,Petrol,4,800 Nm
Aston Martin,Valhalla,4.0L Twin-Turbo V8 Hybrid,4000cc+Battery,937hp,330km/h,2.5 sec,??,Hybrid,2,1000 Nm
Audi,RS3 Sedan,2.5L Turbo I5,2480cc,401hp,290km/h,3.8 sec,$63000,Petrol,5,500 Nm
Audi,RS6 Avant Performance,4.0L Twin-Turbo V8,"399,6 cc",630hp,305km/h,3.4 sec,$135000,Petrol,5,850 Nm
Audi,Q8 e-tron,Dual Electric Motors,106 cm3,402hp,200km/h,5.6 sec,,Electric,5,664 Nm
Audi,Q4 e-tron Sportback,Dual Electric Motors,82kWh,295hp,180km/h,6.0 sec,$58000,Electric,5,460 Nm
Bentley,Flying Spur Speed,4.0L Twin-Turbo V8,3996cc,626hp,333km/h,3.7 sec,$240000,petrol,4,900 Nm
Bentley,Bentayga EWB,4.0L Twin-Turbo V8,3996cc,542hp,290,4.5 sec,,Petrol,,770 Nm
Bentley,Continental GT Speed,6.0L W12 Twin-Turbo,5998cc,650hp,335km/h,3.6 sec,$280000,Petrol,4,900 nm
BMW,M2 Coupe,3.0L Twin-Turbo I6,2993 cm3,453hp,285,4.1 sec,??,Petrol,4,550 Nm
BMW,M4 CSL,3.0L Twin-Turbo I6,2993cc,543hp,307km/h,3.7 sec,$140000,Petrol,,650 Nm
BMW,i4 M50,Dual Electric Motors,83.9kWh,536hp,225km/h,3.9 sec,$71000,Electric,5,795 Nm
BMW,i7 xDrive60,Dual Electric Motors,101.7kWh,544hp,240km/h,4.6 sec,$125000,Electric,5,745 Nm
Bugatti,Mistral,8.0L W16 Quad-Turbo,7993cc,1600hp,420km/h,2.4 sec,$5000000,Petrol,,1600 nm
Bugatti,Bolide,8.0L W16 Quad-Turbo,7993cc,1578hp,500km/h,2.2 sec,$4700000,PETROL,2,1600 Nm
BYD,Seal,Single Electric Motor,82kWh,390HP,200km/h,5.4 sec,$42000,Electric,5,550 Nm
BYD,Atto 3,Single Electric Motor,60kWh,204hp,160km/h,7.3 sec,$32000,Electric,5,310 Nm
BYD,Dolphin,Single Electric Motor,60kWh,201-hp,160km/h,7.0 sec,$28000,Electric,5,290 Nm
BYD,Tang EV,Dual Electric Motors,86kWh,509hp,190km/h,4.4 sec,$55000,Electric,7,700 Nm
Cadillac,Lyriq,Single Electric Motor,102kWh,340hp,190km/h,5.7 sec,$58000,Electric,5,440 nm
Cadillac,CT5-V Blackwing,6.2L Supercharged V8,6162cc,668hp,320km/h,3.6 sec,$95000,Petrol,5,893 Nm
Cadillac,Escalade V,6.2L Supercharged V8,6162CC,682hp,290km/h,4.4 sec,??,Petrol,7,885 Nm
Chevrolet,Corvette E-Ray,6.2L V8 Hybrid,6157cc+Battery,655HP,296km/h,2.5 sec,$108000,Hybrid,2,800 nm
Chevrolet,Silverado EV,Dual Electric Motors,200kWh,664hp,210km/h,4.5 sec,$75000,Electric,5,780 Nm
Chevrolet,Blazer EV SS,Dual Electric Motors,102kWh,557hp,210km/h,4.0 sec,$69000,ELECTRIC,5,680 Nm
Citroën,C4 X,1.2L Turbo I3,desconocido,130-hp,200km/h,9.4 sec,$30000,Petrol,5,230 Nm
Citroën,ë-C4 Electric,Single Electric Motor,50kWh,136hp,150km/h,9.7 sec,,Electric,5,260 Nm
Citroën,C5 X Hybrid,1.6L Turbo I4 PHEV,1598cc+Battery,225hp,210km/h,7.8 sec,??,Plug-In Hybrid,5,360 Nm
Cupra,Formentor VZ5,2.5L Turbo I5,2480cc,390hp,250km/h,4.2 sec,$70000,Petrol,5,480 Nm
Cupra,Born,Single Electric Motor,77kWh,231HP,160km/h,7.0 sec,40000€,electric,5,310 Nm
Cupra,Tavascan,Dual Electric Motors,77kWh,340hp,180km/h,5.6 sec,$60000,Electric,5,545 Nm
Dacia,Duster 2024,1.3L Turbo I4,1330cc,150hp,190km/h,9.8 sec,$24000,Petrol,5,260 Nm
Dacia,Jogger Hybrid 140,1.6L Hybrid I4,1598cc+Battery,140hp,175km/h,10.1 sec,$28000,Hybrid,7,250 Nm
Dodge,Charger Daytona EV,Dual Electric Motors,118kWh,670 hp,250km/h,3.6 sec,$90000,Electric,5,900 Nm
Dodge,Hornet R/T Hybrid,1.3L Turbo PHEV,desconocido,288hp,205km/h,6.1 sec,,Plug-In Hybrid,5,410 Nm
